symbol,name,horizon_days,model,status,model_status,train_rows,test_rows,eligible_for_comparison,mae,rmse,mape,smape,rmspe,mase,absolute_percentage_error_p50,absolute_percentage_error_p90,directional_accuracy,error_message,arima_order
flr,Flare,1,XGBoost,success,EXPERIMENTAL,292,72,True,0.0015395501145378664,0.0017871818893188513,9.63340245597739,9.032451738548827,11.811499603394832,2.373079071325049,7.828001009232185,17.383862492684358,50.0,,
flr,Flare,3,ARIMA,success,VALIDATED,292,70,True,0.0010759416124037082,0.0013863629271897702,6.248143264715113,6.0825427774367595,7.987883000566253,1.6584679499890145,4.703245434171812,11.663589251284732,45.714285714285715,,"(1, 1, 0)"
flr,Flare,3,Naive,success,VALIDATED_BASELINE,292,70,True,0.0010739194773507186,0.001390149167941554,6.235183290285682,6.0735980878440365,7.984941290965109,1.6553510093137298,4.814512383010567,11.595254261393213,0.0,,
flr,Flare,3,XGBoost,success,EXPERIMENTAL,292,70,True,0.0024760950843174144,0.002719252817419849,15.339537500374655,14.05200033031225,17.624270146921507,3.8166795401579408,14.264125263619093,27.23184267213898,40.0,,
flr,Flare,7,ARIMA,success,VALIDATED,292,66,True,0.0018024858774846565,0.0022317927464229064,10.44619203903475,9.927339231178113,12.79050001599759,2.7783710785548434,9.0155971206614,21.593590934859336,45.45454545454545,,"(1, 1, 0)"
flr,Flare,7,Naive,success,VALIDATED_BASELINE,292,66,True,0.0018049780689271835,0.002229415886443551,10.441497110786235,9.935743312914,12.755533744025964,2.782212569194316,9.114478482301836,21.47898125908369,0.0,,
flr,Flare,7,XGBoost,success,EXPERIMENTAL,292,66,True,0.003982932782478808,0.00434846952767419,25.49462240865975,22.01262679384938,28.789394344786682,6.13933534176125,27.208058829104928,40.285418316112796,39.39393939393939,,
flr,Flare,14,ARIMA,success,VALIDATED,292,59,True,0.0028771846527035736,0.0036588090458767025,17.197389992493658,15.263008696263666,21.260602141766338,4.4349233059672155,13.841676772716422,33.71302216243556,44.06779661016949,,"(1, 1, 0)"
flr,Flare,14,Naive,success,VALIDATED_BASELINE,292,59,True,0.0028758589049649196,0.003656684578641778,17.190039748495277,15.26028853008693,21.24060831082675,4.432879784172928,13.850267414397862,33.486313541410816,0.0,,
flr,Flare,14,XGBoost,success,EXPERIMENTAL,292,59,True,0.006219093544533059,0.006499400351711633,40.27437886233,32.83248029621993,42.98776463016385,9.586177542245329,42.00299287752517,56.20443978697144,28.8135593220339,,
flr,Flare,30,ARIMA,success,VALIDATED,292,43,True,0.005817438608981797,0.00648289129550586,38.19813068078561,31.147341408779923,42.13880665854554,8.96706231341939,35.973137911751394,60.749573733046944,39.53488372093023,,"(1, 1, 0)"
flr,Flare,30,Naive,success,VALIDATED_BASELINE,292,43,True,0.005803551439116846,0.006476137032616524,38.10313180150502,31.0719248965839,42.080941697173145,8.94565648073148,36.02592946703284,60.65172198125916,0.0,,
flr,Flare,30,XGBoost,success,EXPERIMENTAL,292,43,True,0.005802184783930297,0.0061229280374899605,40.05368688806289,32.60307306820158,43.11499203191832,8.943549903757926,44.94469234070128,56.17354105753851,41.86046511627907,,
gt,Gate,1,ARIMA,success,VALIDATED,292,72,True,0.30351860081176013,0.4098623236451031,2.3015107122656406,2.2814130013230867,3.190736704367578,0.8322613423601752,1.715721871488499,5.0452099734879665,58.333333333333336,,"(1, 1, 2)"
gt,Gate,1,Naive,success,VALIDATED_BASELINE,292,72,True,0.31102793017988706,0.4089573805536852,2.349779848191664,2.331527750019371,3.145044079207534,0.8528522535050841,1.8106098049230708,5.219862079609138,0.0,,
